step,tokens_processed,train_loss,validation_loss,learning_rate,elapsed_seconds
1,2048,9.251792907714844,,0.0,0.5673269999970216
500,1024000,4.795111179351807,,3.11875e-05,54.29931950000173
1000,2048000,3.61818265914917,,6.24375e-05,129.4205168000044
1500,3072000,3.2623188495635986,,9.368750000000001e-05,197.86035230000562
2000,4096000,3.17842435836792,2.9868640542030334,0.00012493750000000002,267.27072859999316
2500,5120000,3.019052743911743,,0.00015618750000000002,335.974569900005
3000,6144000,2.6985397338867188,,0.00018743750000000002,403.70097940000414
3500,7168000,2.493861675262451,,0.00021868750000000002,473.07790970000497
4000,8192000,2.4823591709136963,2.5389531016349793,0.0002499375,542.624081899994
4500,9216000,2.3604748249053955,,0.00028118749999999997,611.5784080000012
5000,10240000,2.3127501010894775,,0.0003124375,682.2867017999961
5500,11264000,2.243563413619995,,0.00034368749999999997,752.3321346000012
6000,12288000,2.289290428161621,2.327173042297363,0.0003749375,823.9816143000062
6500,13312000,2.524986743927002,,0.0004061875,893.225068300002
7000,14336000,2.2648391723632812,,0.0004374375,946.7015365999978
7500,15360000,2.0555896759033203,,0.0004686875,991.5421704000037
8000,16384000,2.1769509315490723,2.2026532709598543,0.0004999375,1036.8285225
8500,17408000,1.998781442642212,,0.0005311875000000001,1082.8162740999978
9000,18432000,2.218132495880127,,0.0005624375,1128.4409188999998
9500,19456000,2.358882427215576,,0.0005936875,1174.1022592999943
10000,20480000,2.3893070220947266,2.162980765104294,0.0006249375000000001,1219.355118899999
10500,21504000,2.254328489303589,,0.0006561875000000001,1264.474232099994
11000,22528000,2.464452028274536,,0.0006874375,1311.1059271999984
11500,23552000,2.182241439819336,,0.0007186875,1356.9245545000012
12000,24576000,2.3842151165008545,2.0635411202907563,0.0007499375000000001,1402.8839479000017
12500,25600000,2.107579231262207,,0.0007811875000000001,1447.628615900001
13000,26624000,2.1514487266540527,,0.0008124375,1491.8351791000023
13500,27648000,2.1803464889526367,,0.0008436875,1537.1571084000025
14000,28672000,1.9704786539077759,2.071138870716095,0.0008749375000000001,1583.1095717999997
14500,29696000,1.946333885192871,,0.0009061875000000001,1627.9142076999997
15000,30720000,2.042637586593628,,0.0009374375,1673.3019342000043
15500,31744000,2.058278799057007,,0.0009686875,1717.756972999996
16000,32768000,2.2126364707946777,1.9967197239398957,0.0009999375,1763.3666843999963
16500,33792000,1.973936915397644,,0.0009999733338625614,1809.1415727999993
17000,34816000,2.1828196048736572,,0.0009998931247617111,1854.2926299999963
17500,35840000,1.9914038181304932,,0.0009997593821345688,1899.9981595999998
18000,36864000,1.7836055755615234,2.013058716058731,0.000999572121895391,1944.8637276999943
18500,37888000,2.212242603302002,,0.0009993313663265826,1989.2974416999932
19000,38912000,1.7320191860198975,,0.000999037144076047,2035.1984994999948
19500,39936000,2.096590995788574,,0.0009986894901537753,2080.779188799992
20000,40960000,1.725677728652954,1.9468991160392761,0.0009982884459276828,2126.5385072999925
20500,41984000,1.6742448806762695,,0.0009978340591186843,2171.803184599994
21000,43008000,2.166533946990967,,0.000997326383795017,2217.323509599999
21500,44032000,1.9726299047470093,,0.0009967654803658067,2262.6222544000047
22000,45056000,2.126636028289795,1.9588004767894744,0.000996151415573879,2307.4368920999987
