step,tokens_processed,train_loss,validation_loss,learning_rate,elapsed_seconds
1,2048,9.251792907714844,,0.0,0.5250088000029791
25,51200,7.777730941772461,,0.00014399999999999998,2.773670199996559
50,102400,5.586149215698242,,0.000294,5.099111000003177
75,153600,4.527590751647949,,0.0002981010543555193,7.4093585000082385
100,204800,4.378914833068848,4.259585833549499,0.000292143216708304,10.246719900009339
125,256000,4.037261009216309,,0.0002823050136052312,12.552574000001187
150,307200,3.913137435913086,,0.00026888670348286747,14.852052600006573
175,358400,3.5974674224853516,,0.00025229780836230706,17.15544289999525
200,409600,3.772538661956787,3.720497751235962,0.00023304461538369947,20.00301749999926
225,460800,3.5299224853515625,,0.0002117147251039863,22.314694400003646
250,512000,3.6381218433380127,,0.0001889591181382681,24.628878600007738
275,563200,3.65254545211792,,0.00016547228746448657,26.944570699997712
300,614400,3.483546733856201,3.47100293636322,0.00014197104274637083,29.781483300001128
325,665600,3.453707695007324,,0.00011917263355912272,32.10167150000052
350,716800,3.272613048553467,,9.777285918916164e-05,34.41706870000053
375,768000,3.613158702850342,,7.84248330890035e-05,36.734748900009436
400,819200,3.493562936782837,3.3582260966300965,6.171905008850876e-05,39.58900480000011
425,870400,3.080136775970459,,4.816536470407591e-05,41.91323050000938
450,921600,3.4673070907592773,,3.8177430561332434e-05,44.23103920000722
475,972800,3.4090187549591064,,3.206007583457082e-05,46.54406739999831
500,1024000,3.1847481727600098,3.2309603691101074,3e-05,49.39779109999654
